material_id,formula,density
mp-1276910,Li3(FeO3)2,3.588137435705711
mp-774501,Li9(FeO4)2,2.546949114014738
mp-759144,Li9(FeO4)2,2.487205271500838
mp-2411688,LiFe2O3,4.5556888774053
mp-1178106,Li(FeO2)2,4.334681724270051
mp-771135,Li(FeO2)2,4.077701244648826
mp-762575,Li2(FeO2)3,3.975895672337497
mp-780216,Li5Fe3O8,3.757134496281702
mp-773525,LiFe3O4,5.018470869016614
mp-1273581,Li3Fe3O8,3.655230039994618
mp-758515,Li2(FeO2)3,4.395091646943504
mp-758249,Li(FeO2)3,3.849007992383114
mp-1176726,LiFe3O4,4.993785034630602
mp-1299455,Li3Fe3O8,3.6486286946412143
mp-1308681,Li3Fe3O8,3.650038290664826
mp-757201,Li4Fe3O8,4.127806755872923
mp-758388,Li3Fe3O8,3.6561739395967283
mp-771986,Li4Fe3O8,3.7513411946586963
mp-775127,Li4Fe3O8,3.551388470095691
mp-756955,Li3Fe3O8,3.5645239831471542
mp-1101736,LiFe3O4,5.018470120415635
mp-1176887,Li7Fe3O10,3.405113522067953
mp-1177119,Li6Fe3O8,3.642710382291797
mp-763418,Li2Fe3O10,3.185983735916178
mp-771124,Li7Fe3O8,2.8855044552454663
mp-806082,Li7Fe3O8,2.885504448786921
mp-1177185,Li5Fe3O8,3.752110951484097
mp-756816,Li3Fe3O8,3.677137033641348
mp-1178060,Li2(FeO2)3,3.85443120774864
mp-772508,LiFe3O4,5.058356671589055
mp-752883,Li2(FeO2)3,4.152267235238917
mp-752527,Li(FeO2)3,4.128452705393179
mp-1222957,Li2Fe3O4,4.611858679722927
mp-1177704,Li3Fe3O8,3.5884459712872623
mp-753154,Li(FeO2)3,3.8695615827598893
mp-753191,Li2(FeO2)3,4.5507137405724265
mp-753083,Li3(FeO2)4,3.2120924544444502
mp-758469,Li3(FeO2)4,4.290394686792393
mp-781016,Li14Fe4O13,2.535441731628481
mp-754802,Li5(FeO2)4,4.277698636493185
mp-1120820,Li2Fe4O7,3.692305138255449
mp-756480,Li3(FeO2)4,4.050738201274455
mp-769519,Li21(FeO4)4,2.5529905845045713
mp-849463,Li11(FeO3)4,2.863321104053893
mp-766829,Li15(FeO4)4,2.42937617719874
mp-780312,Li5(FeO2)4,4.122382594806084
mp-1176883,Li7Fe5O16,3.440985014365822
mp-1638858,Li8(FeO2)5,3.130773182035781
mp-706252,LiFe5O8,4.65603739020839
mp-752950,Li4(FeO2)5,4.114706887040084
mp-755806,Li3Fe5O12,4.147021498650251
mp-758559,Li3Fe5O12,3.710653704934618
mp-758794,Li5Fe5O12,3.864771042263846
mp-759022,Li5Fe5O12,3.7865802553820913
mp-759319,Li3Fe5O12,3.8054578233244953
mp-760142,Li12Fe5O16,3.459923092249051
mp-780305,Li6Fe5O12,3.855691725822965
mp-764889,Li9Fe5O12,3.643787431590125
mp-770655,Li3Fe5O9,3.5778551502318363
mp-33551,LiFe5O8,4.898361522452147
mp-1643420,Li8(FeO2)5,3.136557541230014
mp-1643829,Li8(FeO2)5,3.14576349724721
mp-752476,Li3(FeO2)5,4.026399738804054
mp-753255,Li8(FeO2)5,3.121076387223726
mp-762529,Li2(FeO2)5,4.046393155486004
mp-21735,LiFe5O8,4.495296520671248
mp-757153,LiFe5O8,4.933619467746605
mp-1176882,Li7Fe5O12,3.883343106119066
mp-756862,Li7Fe5O12,4.205121726974113
mp-771687,Li5Fe5O12,3.54755361099008
mp-780188,Li6Fe5O12,3.9200935708803613
mp-586092,Li3Fe5O8,4.662361035005585
mp-764936,Li8(FeO2)5,3.184732025028769
mp-1176945,Li8Fe7O15,4.204956520057679
mp-756644,Li8Fe7O15,4.150654810038043
mp-758888,Li6Fe7O15,4.168658219359121
mp-759241,Li4Fe7O12,4.48754055515935
mp-752897,Li3Fe7O12,4.503496840583243
mp-756856,Li5Fe7O12,4.516351700187067
mp-762600,Li6Fe7O15,4.191219242043434
mp-1233014,Li(Fe2O3)4,4.96341189580181
mp-1236363,Li(Fe2O3)4,4.97007280456267
mp-850218,Li35(FeO4)8,2.483034701039969
mp-997515,Li(Fe2O3)4,4.700107452507008
mp-1178121,Li(Fe2O3)4,4.601826078006885
mp-1235675,Li(Fe2O3)4,4.33168383312524
mp-1235693,Li(Fe2O3)4,4.674242584914746
mp-1235270,Li(FeO2)8,3.680450795311317
mp-1236025,Li(FeO2)8,3.825858810426285
mp-758077,Li(Fe2O3)4,4.6226587046898135
mp-771396,Li4(FeO2)9,4.011561816725413
mp-762692,Li5Fe11O16,4.807903241199627
mp-758105,Li5Fe11O16,4.9271786630464645
mp-766727,Li5Fe11O16,4.7771743418875445
mp-685404,Li10Fe21O32,4.863827632270552
mp-773010,LiFe23O32,4.754642397752441
mp-772996,Li9Fe23O32,4.885425581286564
